user_id,name,screen_name,location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,type
603083228,Troy Balderson,Troy_Balderson,"Zanesville, Ohio",Representing #OH12 in Congress | It’s not about politics; it’s about getting the job done,https://t.co/20I7ZUjyZs,FALSE,9086,553,185,2012-06-08T21:37:56Z,559,NA,NA,TRUE,TRUE,1656,en,FALSE,FALSE,FALSE,03283B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/1012059167706767362/B9De3PHs_normal.jpg,https://pbs.twimg.com/profile_images/1012059167706767362/B9De3PHs_normal.jpg,https://pbs.twimg.com/profile_banners/603083228/1539636470,0084B4,C0DEED,DDEEF6,333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
602919981,Susie Lee,SusieLeeNV,NA,Candidate for Congress. #NV03. Education Advocate. Community Leader. Board President of Communities In Schools of Nevada. Wife and mother of 2 awesome kids.,https://t.co/AZhRjbkHOf,FALSE,5471,865,157,2012-06-08T15:21:57Z,2232,NA,NA,TRUE,TRUE,2037,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/908310990034427906/EOX3pixB_normal.jpg,https://pbs.twimg.com/profile_images/908310990034427906/EOX3pixB_normal.jpg,https://pbs.twimg.com/profile_banners/602919981/1505394914,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
574799823,Chris Pappas,ChrisPappasNH,"Manchester, NH","Congressman-elect in New Hampshire's 1st District | Life-long Manchester Resident, Restaurant Owner, and Executive Councilor for District 4 | #NH01",https://t.co/ajkmDFbvZD,FALSE,9734,427,155,2012-05-08T19:11:57Z,661,NA,NA,TRUE,TRUE,2717,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,http://pbs.twimg.com/profile_images/795466553022148608/16AdH0Sq_normal.jpg,https://pbs.twimg.com/profile_images/795466553022148608/16AdH0Sq_normal.jpg,https://pbs.twimg.com/profile_banners/574799823/1536858518,0084B4,FFFFFF,DDEEF6,333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
438665212,Josh Harder,joshua_harder,"Turlock, CA",Turlock Native. Teacher at Modesto Junior College. Businessman. Congressman-Elect (CA-10).,https://t.co/Tu6icMnPKL,FALSE,9759,219,221,2011-12-16T21:32:56Z,802,NA,NA,TRUE,TRUE,824,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/1006930366903406594/JzkSO1TQ_normal.jpg,https://pbs.twimg.com/profile_images/1006930366903406594/JzkSO1TQ_normal.jpg,https://pbs.twimg.com/profile_banners/438665212/1492753253,1DA1F2,C0DEED,DDEEF6,333333,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
435331179,Rashida Tlaib,RashidaTlaib,"Detroit, MI","Unbossed Congresswoman for  Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.",https://t.co/1CZT2SJZ8K,FALSE,88153,2395,655,2011-12-12T23:07:37Z,5520,NA,NA,FALSE,TRUE,9233,en,FALSE,FALSE,FALSE,EBC5C5,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,TRUE,http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg,https://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg,https://pbs.twimg.com/profile_banners/435331179/1542835906,1F98C7,000000,DAECF4,663B12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
427872569,Xochitl Torres Small,XochforCongress,"Las Cruces, NM","Congresswoman-Elect, New Mexico's 2nd Congressional District",https://t.co/9bj5norLiJ,FALSE,7346,343,170,2011-12-04T02:33:05Z,184,NA,NA,FALSE,TRUE,301,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/1014950949347979264/ZYCj743P_normal.jpg,https://pbs.twimg.com/profile_images/1014950949347979264/ZYCj743P_normal.jpg,https://pbs.twimg.com/profile_banners/427872569/1534906895,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
411861905,Angie Craig,AngieCraigMN,NA,"Mother to 4 boys. Wife. Congresswoman-elect in #MN02. Grey’s Anatomy, country music, Lynx fan.",https://t.co/Ip24T6iKTv,FALSE,14528,325,243,2011-11-14T00:01:21Z,431,NA,NA,TRUE,TRUE,1476,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/992122525269147648/xgLb9bOC_normal.jpg,https://pbs.twimg.com/profile_images/992122525269147648/xgLb9bOC_normal.jpg,https://pbs.twimg.com/profile_banners/411861905/1531448165,1DA1F2,C0DEED,DDEEF6,333333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
391445643,Haley Stevens,HaleyLive,"Rochester Hills, MI",Congresswoman-elect in Michigan’s 11th district. Millennial. Woman in manufacturing. Auto rescue. Passionate advocate. Ready to work for you!,https://t.co/suqzuCYT2b,FALSE,11566,2333,289,2011-10-15T15:40:39Z,29726,NA,NA,TRUE,TRUE,10426,en,FALSE,FALSE,FALSE,000000,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,FALSE,http://pbs.twimg.com/profile_images/1063768856144039937/M3RcftB7_normal.jpg,https://pbs.twimg.com/profile_images/1063768856144039937/M3RcftB7_normal.jpg,https://pbs.twimg.com/profile_banners/391445643/1521847982,ABB8C2,000000,000000,000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
353890966,Tim Burchett,timburchett,"Knox County, Tennessee",#TN02 Representative-elect. Former @KnoxGov Mayor. Former state legislator. Fiscally conservative Republican. Married to Kelly. Father to Isabel.,NA,FALSE,23809,1437,202,2011-08-12T20:08:19Z,1529,NA,NA,TRUE,TRUE,13654,en,FALSE,FALSE,FALSE,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE,http://pbs.twimg.com/profile_images/565504168186503169/pZW_KXun_normal.jpeg,https://pbs.twimg.com/profile_images/565504168186503169/pZW_KXun_normal.jpeg,https://pbs.twimg.com/profile_banners/353890966/1537729276,1DA1F2,C0DEED,DDEEF6,333333,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,none,congress
346964561,Colin Allred,ColinAllredTX,"Dallas, TX","Civil rights attorney • Former @HUDgov official • Former @NFL linebacker • Congressman-elect in #TX32, where I was born and raised",https://t.co/5Q58mppL8i,FALSE,17954,1371,244,2011-08-02T02:56:31Z,3134,NA,NA,TRUE,TRUE,2359,en,FALSE,FALSE,FALSE,131516,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,http://pbs.twimg.com/profile_images/1009511710221262848/flU2Z8Sa_normal.jpg,https://pbs.twimg.com/profile_images/1009511710221262848/flU2Z8Sa_normal.jpg,https://pbs.twimg.com/profile_banners/346964561/1529521516,012352,FFFFFF,DDEEF6,333333,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,none,congress
